#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2016 12 31 23 50 278  3.0  4.7  2.42 11.43  8.28 306 1012.8  11.5  13.0 999.0 99.0 99.00
2017 01 01 00 50 322  1.5  2.5  2.52 10.81  8.67 305 1013.0  11.1  12.9 999.0 99.0 99.00
2017 01 01 01 50  36  6.5  8.2  2.22 12.90  8.45 303 1013.2  10.5  12.9 999.0 99.0 99.00
2017 01 01 02 50 346  1.4  2.2  2.27 12.90  8.23 295 1013.6  10.6  12.8 999.0 99.0 99.00
2017 01 01 03 50  35  1.1  2.0  2.52 11.43  9.04 305 1013.5  10.8  12.8 999.0 99.0 99.00
2017 01 01 04 50  29  4.4  5.7  2.71 12.12  9.18 295 1013.6  11.0  12.8 999.0 99.0 99.00
2017 01 01 05 50 352  5.1  6.4  2.78 12.90  9.55 307 1014.9  11.1  12.8 999.0 99.0 99.00
2017 01 01 06 50   8  6.9  8.4  2.71 12.90  9.47 300 1014.9  10.5  12.9 999.0 99.0 99.00
2017 01 01 07 50  11  7.2  8.3  2.55 11.43  8.67 288 1015.0  10.5  12.9 999.0 99.0 99.00
2017 01 01 08 50  13  3.5  4.6  2.36 12.90  8.57 298 1015.2  10.4  13.0 999.0 99.0 99.00
2017 01 01 09 50  30  4.0  5.2  2.18 13.79  8.40 314 1015.0  10.3  13.0 999.0 99.0 99.00
2017 01 01 10 50 359  5.2  6.3  2.34 11.43  8.69 316 1015.6  10.4  13.1 999.0 99.0 99.00
2017 01 01 11 50 336  4.4  6.3  2.13 12.90  8.60 314 1016.0  10.5  13.1 999.0 99.0 99.00
2017 01 01 12 50 343  8.1  9.9  2.27 11.43  8.62 314 1015.0  11.5  13.1 999.0 99.0 99.00
2017 01 01 13 50  27  3.5  4.6  2.26 12.90  7.91 318 1014.9  10.7  13.1 999.0 99.0 99.00
2017 01 01 14 50   8  4.2  5.1  1.99 12.12  7.47 311 1015.2  10.9  13.1 999.0 99.0 99.00
2017 01 01 15 50  28  4.3  5.4  1.80 11.43  6.58 316 1015.1  10.8  13.1 999.0 99.0 99.00
2017 01 01 16 50  22  4.5  5.6  1.87 11.43  7.05 305 1015.3  10.8  13.1 999.0 99.0 99.00
2017 01 01 17 50 337  3.3  4.8  1.90 11.43  7.10 302 1015.8  11.0  13.1 999.0 99.0 99.00
2017 01 01 18 50 323  4.1  5.8  1.89 10.81  6.98 307 1016.0  11.4  13.1 999.0 99.0 99.00
2017 01 01 19 50 322  7.3  8.7  1.99 11.43  6.73 303 1015.6  11.8  13.1 999.0 99.0 99.00
2017 01 01 20 50 320  8.3 10.2  2.03 12.12  6.75 298 1015.0  11.7  13.1 999.0 99.0 99.00
2017 01 01 21 50 311  6.8  9.1  2.00 10.81  6.36 286 1014.7  11.3  13.0 999.0 99.0 99.00
2017 01 01 22 50 320  8.8 10.9  2.24 10.81  6.87 298 1014.7  11.3  13.0 999.0 99.0 99.00
2017 01 01 23 50 334  6.9  8.7  2.31 10.00  6.68 310 1014.6  11.3  13.0 999.0 99.0 99.00
2017 01 02 00 50 315  8.5 10.2  2.28  9.09  6.85 318 1014.5  11.1  13.0 999.0 99.0 99.00
2017 01 02 01 50 322  6.3  7.9  2.41 10.81  6.89 307 1014.8  10.8  13.0 999.0 99.0 99.00
2017 01 02 02 50 306  8.4 10.1  2.32 10.00  6.41 315 1015.6  11.1  13.0 999.0 99.0 99.00
2017 01 02 03 50 312  7.4  9.3  2.44 10.81  6.58 323 1016.4  11.1  13.0 999.0 99.0 99.00
2017 01 02 04 50 324  8.8 10.2  2.20 10.00  6.49 304 1016.8  11.3  13.0 999.0 99.0 99.00
2017 01 02 05 50 330  8.6 10.0  2.42 10.81  6.25 313 1016.9  11.4  12.9 999.0 99.0 99.00
2017 01 02 06 50 337  7.4  8.7  2.21  9.09  6.22 311 1016.6  11.4  12.8 999.0 99.0 99.00
2017 01 02 07 50 351  6.8  8.4  2.13 10.81  6.49 307 1016.6  11.4  12.8 999.0 99.0 99.00
2017 01 02 08 50 353  5.8  7.1  2.05 11.43  6.45 311 1016.4  11.5  12.8 999.0 99.0 99.00
2017 01 02 09 50 358  3.1  4.3  1.96 11.43  6.67 306 1017.2  11.5  12.9 999.0 99.0 99.00
2017 01 02 10 50 325  3.7  4.7  2.06 10.00  7.42 312 1017.4  11.5  13.0 999.0 99.0 99.00
2017 01 02 11 50 341  1.9  2.9  2.00 10.00  7.49 308 1016.9  11.4  13.0 999.0 99.0 99.00
2017 01 02 12 50 356  2.2  3.7  1.91  9.09  7.60 310 1016.9  11.2  13.0 999.0 99.0 99.00
2017 01 02 13 50 296  3.0  5.3  1.81 16.00  7.84 316 1017.4  10.5  13.0 999.0 99.0 99.00
2017 01 02 14 50 146  0.9  2.9  1.93 16.00  8.09 295 1018.1   9.0  13.0 999.0 99.0 99.00
2017 01 02 15 50 104  3.6  4.4  1.57 17.39  7.84 294 1018.1   9.9  13.0 999.0 99.0 99.00
2017 01 02 16 50 117  3.4  5.3  1.62  9.09  7.80 318 1018.3  10.7  13.0 999.0 99.0 99.00
2017 01 02 17 50 140  4.7  5.8  1.67 16.00  8.16 333 1018.6  10.8  13.0 999.0 99.0 99.00
2017 01 02 18 50 159  2.9  3.8  1.73 16.00  8.23 285 1019.4  11.3  13.0 999.0 99.0 99.00
2017 01 02 19 50 165  3.1  4.5  1.73  9.09  8.21 310 1018.6  11.4  13.0 999.0 99.0 99.00
2017 01 02 20 50 197  2.6  3.7  1.92 16.00  8.83 295 1018.4  11.7  13.1 999.0 99.0 99.00
2017 01 02 21 50 200  3.3  4.6  2.04 10.81  9.02 311 1018.4  11.8  13.2 999.0 99.0 99.00
2017 01 02 22 50 188  3.4  5.2  2.26 16.00  9.58 315 1018.7  11.8  13.2 999.0 99.0 99.00
