#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2013 12 31 23 50 314  7.1  8.7  2.00 14.81  8.42 314 1020.5  13.4  14.3 999.0 99.0 99.00
2014 01 01 00 50 307  9.1 10.7  1.95 14.81  7.69 313 1020.4  13.1  14.3 999.0 99.0 99.00
2014 01 01 01 50 317 10.0 11.6  1.92 14.81  7.08 294 1020.5  13.0  14.2 999.0 99.0 99.00
2014 01 01 02 50 318  8.9 11.3  2.23 14.81  7.10 313 1020.6  13.0  14.2 999.0 99.0 99.00
2014 01 01 03 50 326  8.9 11.2  2.04 14.81  6.51 310 1020.9  12.8  14.1 999.0 99.0 99.00
2014 01 01 04 50 323  7.9  9.8 99.00 99.00 99.00 999 1021.1  12.9  14.1 999.0 99.0 99.00
2014 01 01 05 50 327  7.5  9.2  2.25 13.79  7.01 306 1021.4  12.9  14.0 999.0 99.0 99.00
2014 01 01 06 50 328  7.4  8.4  2.24 14.81  7.38 313 1021.6  13.1  14.0 999.0 99.0 99.00
2014 01 01 07 50 334  7.1 99.0 99.00 99.00 99.00 999 1021.3  13.1  14.0 999.0 99.0 99.00
2014 01 01 08 50 334  6.8  8.1  2.09 14.81  6.93 312 1021.1  13.0  14.0 999.0 99.0 99.00
2014 01 01 09 50 333  7.1  8.2  2.09 14.81  7.12 313 1021.1  12.9  14.0 999.0 99.0 99.00
2014 01 01 10 50 335  7.0  8.7  1.89 13.79  6.86 313 1020.9  13.0  14.0 999.0 99.0 99.00
2014 01 01 11 50 337  7.2  8.4  1.64 14.81  6.70 301 1020.7  13.1  14.0 999.0 99.0 99.00
2014 01 01 12 50 358  2.5  3.3  1.92 14.81  7.27 296 1020.3  12.2  14.0 999.0 99.0 99.00
2014 01 01 13 50 319  5.8  7.2  1.80 13.79  7.22 297 1020.2  13.0  13.9 999.0 99.0 99.00
2014 01 01 14 50 325  6.4  7.4  1.87 14.81  7.21 301 1020.3  13.1  13.9 999.0 99.0 99.00
2014 01 01 15 50 324  7.0  8.6  1.75 14.81  7.06 307 1021.0  13.1  13.9 999.0 99.0 99.00
2014 01 01 16 50 323  6.5  7.9  2.00 14.81  7.64 293 1021.3  13.2  14.1 999.0 99.0 99.00
2014 01 01 17 50 343  5.9  7.4  1.89 14.81  7.29 299 1021.6  13.4  14.2 999.0 99.0 99.00
2014 01 01 18 50  32  2.7  3.4  1.92 14.81  7.61 294 1021.4  13.5  14.2 999.0 99.0 99.00
2014 01 01 19 50 337  1.6  2.4  1.98 14.81  8.63 285 1020.8  13.5  14.4 999.0 99.0 99.00
2014 01 01 20 50 318  3.2  3.9  1.79 14.81  8.46 305 1019.9  13.4  14.5 999.0 99.0 99.00
2014 01 01 21 50 318  4.6  5.7  1.58 12.90  7.59 303 1019.4  13.6  14.5 999.0 99.0 99.00
2014 01 01 22 50 311  5.8  7.3  1.59 14.81  7.51 304 1019.4  13.6  14.5 999.0 99.0 99.00
2014 01 01 23 50 309  5.8  6.7  1.80 14.81  7.94 299 1019.3  13.7  14.5 999.0 99.0 99.00
2014 01 02 00 50 310  2.7  3.4  1.71 13.79  7.93 297 1019.2  13.7  14.5 999.0 99.0 99.00
2014 01 02 01 50 302  3.3  4.0  1.83 13.79  8.09 305 1019.4  13.8  14.4 999.0 99.0 99.00
2014 01 02 02 50 318  3.4  4.3  1.78 12.90  8.50 308 1019.9  13.6  14.4 999.0 99.0 99.00
2014 01 02 03 50 335  3.6  4.4  1.69 13.79  8.31 305 1019.8  13.6  14.3 999.0 99.0 99.00
2014 01 02 04 50 352  3.0  3.6  1.73 13.79  8.84 294 1019.9  13.5  14.3 999.0 99.0 99.00
2014 01 02 05 50 333  2.9  3.6  1.60 12.12  8.48 303 1020.4  13.6  14.2 999.0 99.0 99.00
2014 01 02 06 50 356  2.4  2.9  1.94 13.79  9.33 292 1020.4  13.5  14.2 999.0 99.0 99.00
2014 01 02 07 50 353  1.5  2.1  1.50 11.43  8.23 299 1020.5  13.3  14.2 999.0 99.0 99.00
2014 01 02 08 50   7  0.2  0.7  1.81 12.90  8.91 291 1020.2  13.1  14.1 999.0 99.0 99.00
2014 01 02 09 50  77  1.0  1.5  1.81 13.79  9.02 298 1019.9  13.1  14.1 999.0 99.0 99.00
2014 01 02 10 50  94  1.1  1.8  1.48 12.90  8.01 288 1019.8  12.8  14.0 999.0 99.0 99.00
2014 01 02 11 50   3  0.2  0.5  1.47 12.90  7.74 305 1019.6  12.5  14.1 999.0 99.0 99.00
2014 01 02 12 50  34  1.7  2.2  1.58 13.79  7.97 282 1019.3  12.5  14.2 999.0 99.0 99.00
2014 01 02 13 50  37  1.4  1.9  1.36 13.79  7.35 270 1019.3  12.6  14.1 999.0 99.0 99.00
2014 01 02 14 50  16  0.5  0.8  1.43 13.79  7.84 280 1019.2  12.6  14.0 999.0 99.0 99.00
2014 01 02 15 50 351  2.5  3.2  1.49 13.79  7.93 294 1019.5  12.8  14.0 999.0 99.0 99.00
2014 01 02 16 50  41  1.7  2.2  1.53 12.90  8.23 292 1019.9  14.1  14.0 999.0 99.0 99.00
2014 01 02 17 50  87  1.4  2.0  1.43 13.79  8.51 276 1020.3  14.2  14.1 999.0 99.0 99.00
2014 01 02 18 50 258  0.8  1.3  1.38 12.90  7.99 283 1020.1  15.6  14.2 999.0 99.0 99.00
2014 01 02 19 50 275  2.8  3.5  1.51 12.90  8.46 286 1019.3  14.5  14.5 999.0 99.0 99.00
2014 01 02 20 50 316  2.7  3.3  1.44 12.90  7.91 294 1018.4  14.2  14.6 999.0 99.0 99.00
2014 01 02 21 50 312  3.6  4.3  1.35 12.90  7.53 305 1017.7  14.6  14.7 999.0 99.0 99.00
2014 01 02 22 50 315  3.6  4.2  1.41 12.90  7.89 289 1017.4  14.7  14.8 999.0 99.0 99.00
2014 01 02 23 50 323  3.9  4.8  1.31 12.90  7.88 296 1017.3  14.3  14.8 999.0 99.0 99.00
2014 01 03 00 50 319  3.1  3.8  1.29 11.43  7.48 295 1017.4  14.2  14.7 999.0 99.0 99.00
2014 01 03 01 50 321  3.5  4.1  1.33 12.90  7.86 287 1017.3  14.2  14.6 999.0 99.0 99.00
2014 01 03 02 50 334  4.1  4.9  1.36 12.12  7.92 295 1017.2  14.1  14.5 999.0 99.0 99.00
2014 01 03 03 50 322  2.9  3.4  1.20 12.90  7.73 297 1017.4  14.0  14.4 999.0 99.0 99.00
2014 01 03 04 50 300  2.4  3.3  1.23 12.12  8.03 289 1017.7  13.8  14.4 999.0 99.0 99.00
2014 01 03 05 50 303  4.0  4.9  1.08 12.90  7.25 276 1017.9  13.7  14.4 999.0 99.0 99.00
2014 01 03 06 50 327  3.0  3.7  1.19 12.90  7.93 292 1017.8  13.8  14.4 999.0 99.0 99.00
2014 01 03 07 50 340  2.5  3.2  1.27 12.12  8.39 282 1017.4  13.7  14.4 999.0 99.0 99.00
2014 01 03 08 50 355  2.7  3.3  1.29 11.43  7.93 288 1017.2  13.4  14.3 999.0 99.0 99.00
2014 01 03 09 50 355  2.1  2.5  1.28 12.12  7.95 299 1017.1  13.4  14.3 999.0 99.0 99.00
2014 01 03 10 50 337  3.6  4.6  1.13 12.12  7.37 283 1017.1  13.6  14.4 999.0 99.0 99.00
2014 01 03 11 50 326  3.6  4.4  1.31 12.12  8.28 281 1017.0  13.6  14.4 999.0 99.0 99.00
2014 01 03 12 50 352  3.6  4.4  1.11 12.90  7.52 277 1016.5  13.6  14.4 999.0 99.0 99.00
2014 01 03 13 50 322  1.8  2.4  1.15 12.90  7.81 273 1016.8  13.5  14.4 999.0 99.0 99.00
2014 01 03 14 50 357  1.8  2.3  1.15 11.43  7.61 293 1017.1  13.7  14.4 999.0 99.0 99.00
2014 01 03 15 50  96  1.9  2.5  1.13 12.12  7.49 297 1017.3  13.6  14.4 999.0 99.0 99.00
2014 01 03 16 50 131  0.4  1.0  1.11 11.43  7.39 272 1017.8  13.7  14.4 999.0 99.0 99.00
2014 01 03 17 50 307  4.2  5.5  1.18 16.00  8.03 298 1018.0  14.4  14.4 999.0 99.0 99.00
2014 01 03 18 50 315  6.1  7.3  1.14 11.43  7.58 284 1017.4  14.0  14.5 999.0 99.0 99.00
2014 01 03 19 50 332  5.8  6.9  1.25 12.12  6.42 283 1016.1  13.9  14.6 999.0 99.0 99.00
2014 01 03 20 50 335  4.9  5.7  1.26 11.43  6.44 296 1015.3  13.9  14.6 999.0 99.0 99.00
2014 01 03 21 50 334  3.2  4.5  1.33 11.43  6.50 296 1014.6  14.1  14.7 999.0 99.0 99.00
2014 01 03 22 50 330  3.3  3.9  1.20 16.00  6.45 293 1014.0  14.1  14.7 999.0 99.0 99.00
2014 01 03 23 50 335  3.1  3.8  1.26 16.00  6.89 314 1013.8  14.1  14.7 999.0 99.0 99.00
2014 01 04 00 50 289  3.9  4.9  1.39 16.00  7.56 316 1014.2  14.2  14.7 999.0 99.0 99.00
2014 01 04 01 50 289  4.1  5.2  1.41 16.00  7.90 320 1014.6  14.2  14.7 999.0 99.0 99.00
2014 01 04 02 50 317  5.8  6.9  1.44 16.00  8.13 310 1014.9  13.9  14.6 999.0 99.0 99.00
2014 01 04 03 50 307  5.8  6.8  1.62 16.00  8.15 326 1014.9  13.8  14.6 999.0 99.0 99.00
2014 01 04 04 50 301  5.1  6.4  1.50 13.79  7.86 299 1015.4  13.9  14.5 999.0 99.0 99.00
2014 01 04 05 50 321  5.4  6.7  1.61 16.00  8.01 307 1015.7  13.9  14.5 999.0 99.0 99.00
2014 01 04 06 50 326  5.4  6.4  1.84 16.00  8.80 304 1015.6  13.8  14.5 999.0 99.0 99.00
2014 01 04 07 50 328  5.0  5.9  2.04 14.81  9.60 309 1015.5  13.7  14.4 999.0 99.0 99.00
2014 01 04 08 50 332  4.7  5.8  1.88 14.81  8.99 318 1015.3  13.6  14.4 999.0 99.0 99.00
