#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2014 12 31 23 50 999 99.0 99.0  2.10 10.00  7.07 310 1018.1  13.1  15.0 999.0 99.0 99.00
2015 01 01 00 50 999 99.0 99.0  2.09  9.09  7.13 328 1018.1  12.4  15.0 999.0 99.0 99.00
2015 01 01 01 50 999 99.0 99.0  2.10  9.09  7.09 319 1018.2  12.5  14.9 999.0 99.0 99.00
2015 01 01 02 50 999 99.0 99.0  2.07  9.09  7.11 308 1018.3  12.3  14.9 999.0 99.0 99.00
2015 01 01 03 50 999 99.0 99.0  1.95  8.33  6.81 312 1018.7  12.0  14.9 999.0 99.0 99.00
2015 01 01 04 50 999 99.0 99.0  1.93  9.09  6.84 315 1018.5  12.2  14.9 999.0 99.0 99.00
2015 01 01 05 50 999 99.0 99.0  1.71  7.69  6.44 310 1018.5  11.1  14.9 999.0 99.0 99.00
2015 01 01 06 50 999 99.0 99.0  1.62  7.69  6.10 302 1018.2  11.2  14.8 999.0 99.0 99.00
2015 01 01 07 50 999 99.0 99.0  1.53  8.33  5.87 311 1017.8  11.5  14.8 999.0 99.0 99.00
2015 01 01 08 50 999 99.0 99.0  1.47  7.14  5.81 305 1017.5  11.2  14.8 999.0 99.0 99.00
2015 01 01 09 50 999 99.0 99.0  1.43  6.25  5.64 306 1017.6  11.3  14.8 999.0 99.0 99.00
2015 01 01 10 50 999 99.0 99.0  1.38  7.14  5.45 308 1017.7  10.6  14.8 999.0 99.0 99.00
2015 01 01 11 50 999 99.0 99.0  1.17  7.14  5.09 309 1017.3  10.3  14.9 999.0 99.0 99.00
2015 01 01 12 50 999 99.0 99.0  1.23 12.90  4.85 293 1016.9  10.7  14.9 999.0 99.0 99.00
2015 01 01 13 50 999 99.0 99.0  1.16  6.67  4.96 310 1017.2   9.9  14.8 999.0 99.0 99.00
2015 01 01 14 50 999 99.0 99.0  1.03 12.90  4.45 264 1017.9   9.8  14.8 999.0 99.0 99.00
2015 01 01 15 50 999 99.0 99.0  1.22 12.90  4.62 318 1018.6   9.5  14.8 999.0 99.0 99.00
2015 01 01 16 50 999 99.0 99.0  1.22 12.12  4.89 312 1019.4  10.0  14.8 999.0 99.0 99.00
2015 01 01 17 50 999 99.0 99.0  1.12 12.90  4.80 121 1020.6  10.2  14.9 999.0 99.0 99.00
2015 01 01 18 50 999 99.0 99.0  1.06  8.33  4.93 317 1020.4  10.7  14.9 999.0 99.0 99.00
2015 01 01 19 50 999 99.0 99.0  0.99  8.33  4.81 310 1019.6  11.7  15.0 999.0 99.0 99.00
2015 01 01 20 50 999 99.0 99.0  0.97  8.33  5.16 313 1018.9  12.8  15.0 999.0 99.0 99.00
2015 01 01 21 50 999 99.0 99.0  0.96 12.12  6.05 327 1018.6  13.3  15.1 999.0 99.0 99.00
2015 01 01 22 50 999 99.0 99.0  1.06 12.12  6.25 292 1018.6  13.5  15.2 999.0 99.0 99.00
2015 01 01 23 50 999 99.0 99.0 99.00 99.00 99.00 999 1019.1  13.6  15.5 999.0 99.0 99.00
2015 01 02 00 50 999 99.0 99.0  1.26  9.09  6.41 320 1019.4  13.3  15.5 999.0 99.0 99.00
2015 01 02 01 50 999 99.0 99.0  1.52  9.09  6.96 309 1019.6  13.1  15.4 999.0 99.0 99.00
2015 01 02 02 50 999 99.0 99.0  1.64  9.09  7.17 314 1019.9  13.0  15.3 999.0 99.0 99.00
2015 01 02 03 50 999 99.0 99.0  1.59  8.33  7.11 315 1019.9  13.1  15.2 999.0 99.0 99.00
2015 01 02 04 50 999 99.0 99.0  1.52 10.81  7.13 303 1020.1  13.2  15.2 999.0 99.0 99.00
2015 01 02 05 50 999 99.0 99.0  1.60 10.00  7.48 318 1020.0  12.9  15.1 999.0 99.0 99.00
2015 01 02 06 50 999 99.0 99.0  1.47 10.00  7.36 304 1020.3  12.8  15.1 999.0 99.0 99.00
2015 01 02 07 50 999 99.0 99.0  1.36 10.00  6.94 307 1020.5  12.2  15.1 999.0 99.0 99.00
2015 01 02 08 50 999 99.0 99.0  1.19 10.81  6.54 305 1020.4  12.1  15.1 999.0 99.0 99.00
2015 01 02 09 50 999 99.0 99.0  1.14 10.00  6.17 306 1020.3  11.6  15.1 999.0 99.0 99.00
2015 01 02 10 50 999 99.0 99.0  1.32 10.00  6.12 316 1020.3  11.5  15.1 999.0 99.0 99.00
2015 01 02 11 50 999 99.0 99.0  1.28 11.43  6.13 299 1020.1  11.3  15.0 999.0 99.0 99.00
2015 01 02 12 50 999 99.0 99.0  1.13 10.00  5.50 327 1019.7  10.5  15.0 999.0 99.0 99.00
2015 01 02 13 50 999 99.0 99.0  1.23 10.00  5.43 298 1019.8  10.0  15.0 999.0 99.0 99.00
2015 01 02 14 50 999 99.0 99.0  1.23 12.90  5.53 299 1020.3  10.1  15.0 999.0 99.0 99.00
2015 01 02 15 50 999 99.0 99.0  1.34 10.00  6.09 330 1020.6  10.3  15.0 999.0 99.0 99.00
2015 01 02 16 50 999 99.0 99.0  1.37  9.09  6.38 317 1021.2  10.7  15.0 999.0 99.0 99.00
2015 01 02 17 50 999 99.0 99.0  1.26  9.09  6.16 309 1021.6  10.8  15.1 999.0 99.0 99.00
2015 01 02 18 50 999 99.0 99.0  1.20 12.90  6.08 298 1021.3  11.4  15.2 999.0 99.0 99.00
2015 01 02 19 50 999 99.0 99.0  1.30 12.90  6.76 292 1020.2  11.8  15.3 999.0 99.0 99.00
2015 01 02 20 50 999 99.0 99.0  1.26 12.90  7.08 293 1019.2  11.8  15.4 999.0 99.0 99.00
2015 01 02 21 50 999 99.0 99.0  1.13 12.90  7.00 300 1018.6  12.0  15.4 999.0 99.0 99.00
2015 01 02 22 50 999 99.0 99.0  1.19 12.90  7.31 305 1018.3  12.5  15.5 999.0 99.0 99.00
2015 01 02 23 50 999 99.0 99.0  1.27 12.90  7.98 310 1018.4  12.8  15.4 999.0 99.0 99.00
2015 01 03 00 50 999 99.0 99.0  1.24 12.90  6.76 307 1018.2  12.9  15.4 999.0 99.0 99.00
2015 01 03 01 50 999 99.0 99.0  1.15 12.12  5.58 304 1018.8  13.2  15.4 999.0 99.0 99.00
2015 01 03 02 50 999 99.0 99.0  1.19 12.90  5.63 295 1019.5  13.3  15.4 999.0 99.0 99.00
2015 01 03 03 50 999 99.0 99.0  1.21 12.90  5.16 297 1020.1  13.3  15.4 999.0 99.0 99.00
2015 01 03 04 50 999 99.0 99.0  1.19 12.12  4.96 291 1020.2  13.4  15.4 999.0 99.0 99.00
2015 01 03 05 50 999 99.0 99.0  1.19 12.90  5.04 309 1020.5  13.1  15.4 999.0 99.0 99.00
2015 01 03 06 50 999 99.0 99.0  1.12 12.90  5.08 314 1020.9  13.2  15.3 999.0 99.0 99.00
2015 01 03 07 50 999 99.0 99.0  1.14 12.90  5.32 300 1021.1  12.7  15.3 999.0 99.0 99.00
2015 01 03 08 50 999 99.0 99.0  1.08 12.12  5.25 328 1021.0  12.5  15.3 999.0 99.0 99.00
2015 01 03 09 50 999 99.0 99.0  1.09 12.12  5.58 293 1021.2  12.0  15.3 999.0 99.0 99.00
2015 01 03 10 50 999 99.0 99.0  0.97 12.12  5.42 301 1021.3  11.0  15.2 999.0 99.0 99.00
2015 01 03 11 50 999 99.0 99.0  0.90 11.43  4.85 309 1021.6  10.6  15.2 999.0 99.0 99.00
2015 01 03 12 50 999 99.0 99.0  1.00 11.43  5.39 307 1021.9  10.8  15.1 999.0 99.0 99.00
2015 01 03 13 50 999 99.0 99.0  0.96 11.43  5.93 300 1022.2  10.6  15.0 999.0 99.0 99.00
2015 01 03 14 50 999 99.0 99.0  0.92 12.12  5.45 300 1022.4  10.3  15.0 999.0 99.0 99.00
2015 01 03 15 50 999 99.0 99.0  1.09 11.43  6.21 316 1022.9  10.7  15.0 999.0 99.0 99.00
2015 01 03 16 50 999 99.0 99.0  1.06 11.43  6.16 296 1023.2  10.3  15.1 999.0 99.0 99.00
2015 01 03 17 50 999 99.0 99.0  1.01 12.12  5.99 289 1024.2  10.5  15.2 999.0 99.0 99.00
2015 01 03 18 50 999 99.0 99.0  1.01 12.12  6.09 319 1024.3  11.8  15.4 999.0 99.0 99.00
2015 01 03 19 50 999 99.0 99.0  0.89 12.12  5.54 315 1023.9  12.7  15.6 999.0 99.0 99.00
2015 01 03 20 50 999 99.0 99.0  0.94 11.43  5.99 301 1023.1  13.1  15.8 999.0 99.0 99.00
2015 01 03 21 50 999 99.0 99.0  0.89 12.12  6.31 293 1022.9  13.7  16.0 999.0 99.0 99.00
2015 01 03 22 50 999 99.0 99.0  0.88 12.12  6.70 285 1023.6  13.4  16.1 999.0 99.0 99.00
2015 01 03 23 50 999 99.0 99.0  0.84 11.43  6.68 294 1024.3  13.3  16.1 999.0 99.0 99.00
2015 01 04 00 50 999 99.0 99.0  0.88 12.12  7.00 287 1024.4  13.2  15.9 999.0 99.0 99.00
2015 01 04 01 50 999 99.0 99.0  0.78 12.12  6.56 296 1024.7  12.8  15.8 999.0 99.0 99.00
2015 01 04 02 50 999 99.0 99.0  0.78 12.12  6.86 302 1024.9  12.9  15.7 999.0 99.0 99.00
2015 01 04 03 50 999 99.0 99.0  0.77 12.12  7.27 302 1024.8  12.8  15.6 999.0 99.0 99.00
2015 01 04 04 50 999 99.0 99.0  0.81 11.43  7.48 300 1024.9  12.7  15.6 999.0 99.0 99.00
2015 01 04 05 50 999 99.0 99.0  0.87 12.12  7.31 302 1025.3  12.8  15.5 999.0 99.0 99.00
2015 01 04 06 50 999 99.0 99.0  0.84 12.12  7.40 309 1025.4  13.0  15.5 999.0 99.0 99.00
2015 01 04 07 50 999 99.0 99.0  0.88 12.12  7.46 303 1025.5  13.0  15.4 999.0 99.0 99.00
2015 01 04 08 50 999 99.0 99.0  0.84 11.43  7.34 311 1025.5  13.1  15.4 999.0 99.0 99.00
2015 01 04 09 50 999 99.0 99.0  0.82 11.43  7.23 302 1025.8  12.1  15.3 999.0 99.0 99.00
2015 01 04 10 50 999 99.0 99.0  0.79 12.12  7.57 276 1025.9  12.1  15.3 999.0 99.0 99.00
2015 01 04 11 50 999 99.0 99.0  0.82 12.12  6.91 302 1026.0  12.0  15.3 999.0 99.0 99.00
2015 01 04 12 50 999 99.0 99.0  0.80 12.90  5.88 307 1026.3  11.7  15.3 999.0 99.0 99.00
2015 01 04 13 50 999 99.0 99.0  0.97 10.81  6.35 301 1026.6  11.4  15.3 999.0 99.0 99.00
2015 01 04 14 50 999 99.0 99.0  0.86 12.90  5.90 297 1027.0  11.2  15.3 999.0 99.0 99.00
2015 01 04 15 50 999 99.0 99.0  0.84 12.90  5.94 285 1027.9  11.4  15.3 999.0 99.0 99.00
2015 01 04 16 50 999 99.0 99.0  0.85 12.90  5.58 287 1028.7  11.6  15.3 999.0 99.0 99.00
2015 01 04 17 50 999 99.0 99.0  0.74 12.90  5.75 299 1028.6  11.8  15.2 999.0 99.0 99.00
2015 01 04 18 50 999 99.0 99.0  0.85 12.12  6.15 282 1028.4  12.6  15.3 999.0 99.0 99.00
2015 01 04 19 50 999 99.0 99.0  0.94 12.90  6.69 295 1027.0  13.2  15.4 999.0 99.0 99.00
2015 01 04 20 50 999 99.0 99.0  0.79 12.90  6.26 301 1026.4  13.2  15.6 999.0 99.0 99.00
2015 01 04 21 50 999 99.0 99.0  0.78 12.90  6.45 289 1026.0  14.1  15.6 999.0 99.0 99.00
2015 01 04 22 50 999 99.0 99.0  0.96 12.12  5.26 301 1025.9  14.2  15.5 999.0 99.0 99.00
2015 01 04 23 50 999 99.0 99.0  0.89 12.12  4.59 290 1026.0  14.3  15.5 999.0 99.0 99.00
2015 01 05 00 50 999 99.0 99.0  0.84 12.90  4.43 325 1026.0  14.8  15.5 999.0 99.0 99.00
2015 01 05 01 50 999 99.0 99.0  1.09 12.90  4.59 318 1026.0  14.7  15.5 999.0 99.0 99.00
2015 01 05 02 50 999 99.0 99.0  1.15 12.12  4.88 281 1026.0  14.6  15.5 999.0 99.0 99.00
2015 01 05 03 50 999 99.0 99.0  1.31 12.12  5.49 301 1025.8  14.9  15.4 999.0 99.0 99.00
2015 01 05 04 50 999 99.0 99.0  1.33 17.39  5.50 306 1026.0  15.0  15.4 999.0 99.0 99.00
2015 01 05 05 50 999 99.0 99.0  1.40 12.12  6.78 308 1026.3  14.9  15.4 999.0 99.0 99.00
2015 01 05 06 50 999 99.0 99.0  1.70 12.12  7.94 307 1026.0  15.1  15.5 999.0 99.0 99.00
2015 01 05 07 50 999 99.0 99.0  1.49 11.43  6.92 285 1025.8  15.0  15.5 999.0 99.0 99.00
2015 01 05 08 50 999 99.0 99.0  1.52 12.12  6.82 315 1025.5  14.8  15.5 999.0 99.0 99.00
2015 01 05 09 50 999 99.0 99.0  1.51 11.43  7.24 296 1025.8  14.9  15.5 999.0 99.0 99.00
2015 01 05 10 50 999 99.0 99.0  1.46 12.12  6.96 310 1025.9  14.7  15.4 999.0 99.0 99.00
2015 01 05 11 50 999 99.0 99.0  1.46 11.43  6.82 295 1025.5  14.5  15.4 999.0 99.0 99.00
2015 01 05 12 50 999 99.0 99.0  1.36 12.12  6.44 313 1025.3  14.8  15.3 999.0 99.0 99.00
2015 01 05 13 50 999 99.0 99.0  1.35 17.39  6.83 323 1024.8  13.8  15.3 999.0 99.0 99.00
2015 01 05 14 50 999 99.0 99.0  1.33 11.43  7.18 291 1024.8  13.8  15.2 999.0 99.0 99.00
2015 01 05 15 50 999 99.0 99.0  1.30 17.39  7.02 305 1025.1  13.8  15.2 999.0 99.0 99.00
2015 01 05 16 50 999 99.0 99.0  1.42 17.39  7.87 308 1025.2  14.4  15.2 999.0 99.0 99.00
2015 01 05 17 50 999 99.0 99.0  1.31 16.00  7.51 310 1025.4  15.0  15.2 999.0 99.0 99.00
2015 01 05 18 50 999 99.0 99.0  1.31 16.00  7.42 295 1025.0  15.3  15.3 999.0 99.0 99.00
2015 01 05 19 50 999 99.0 99.0  1.43 16.00  8.22 299 1023.8  15.4  15.5 999.0 99.0 99.00
2015 01 05 20 50 999 99.0 99.0  1.26 16.00  7.82 288 1022.9  15.7  15.6 999.0 99.0 99.00
2015 01 05 21 50 999 99.0 99.0  1.18 16.00  7.18 312 1022.2  16.6  15.7 999.0 99.0 99.00
2015 01 05 22 50 999 99.0 99.0  1.18 16.00  7.74 302 1022.1  17.1  15.9 999.0 99.0 99.00
2015 01 05 23 50 999 99.0 99.0  1.16 16.00  7.53 290 1021.7  16.7  15.9 999.0 99.0 99.00
2015 01 06 00 50 999 99.0 99.0  1.11 16.00  7.43 306 1021.7  16.0  15.7 999.0 99.0 99.00
2015 01 06 01 50 999 99.0 99.0  0.97 14.81  7.08 303 1022.0  15.3  15.6 999.0 99.0 99.00
2015 01 06 02 50 999 99.0 99.0  1.01 16.00  9.07 263 1022.2  15.2  15.5 999.0 99.0 99.00
2015 01 06 03 50 999 99.0 99.0  1.04 14.81  8.59 307 1022.3  15.1  15.4 999.0 99.0 99.00
2015 01 06 04 50 999 99.0 99.0  1.09 14.81  8.51 312 1022.4  15.0  15.3 999.0 99.0 99.00
2015 01 06 05 50 999 99.0 99.0  1.09 14.81  8.51 295 1022.4  15.1  15.3 999.0 99.0 99.00
2015 01 06 06 50 999 99.0 99.0  0.98 14.81  8.27 285 1022.1  14.6  15.3 999.0 99.0 99.00
2015 01 06 07 50 999 99.0 99.0  0.92 14.81  8.39 283 1021.5  14.2  15.3 999.0 99.0 99.00
2015 01 06 08 50 999 99.0 99.0  0.91 14.81  8.11 301 1021.7  14.8  15.4 999.0 99.0 99.00
2015 01 06 09 50 999 99.0 99.0  0.92 14.81  7.43 318 1022.0  14.7  15.4 999.0 99.0 99.00
2015 01 06 10 50 999 99.0 99.0  0.83 14.81  6.65 316 1022.0  15.6  15.4 999.0 99.0 99.00
2015 01 06 11 50 999 99.0 99.0  0.79 14.81  6.48 320 1021.8  15.6  15.4 999.0 99.0 99.00
2015 01 06 12 50 999 99.0 99.0  0.88 14.81  7.33 282 1022.2  15.2  15.4 999.0 99.0 99.00
2015 01 06 13 50 999 99.0 99.0  0.91 14.81  7.27 318 1022.4  15.3  15.4 999.0 99.0 99.00
2015 01 06 14 50 999 99.0 99.0  0.81 14.81  6.99 312 1022.7  15.4  15.3 999.0 99.0 99.00
2015 01 06 15 50 999 99.0 99.0  0.84 14.81  7.02 307 1023.0  15.7  15.3 999.0 99.0 99.00
2015 01 06 16 50 999 99.0 99.0  0.88 14.81  6.78 303 1023.4  16.0  15.3 999.0 99.0 99.00
2015 01 06 17 50 999 99.0 99.0  0.86 13.79  7.45 283 1023.3  15.6  15.4 999.0 99.0 99.00
2015 01 06 18 50 999 99.0 99.0  0.82 14.81  7.81 289 1022.7  15.7  15.5 999.0 99.0 99.00
2015 01 06 19 50 999 99.0 99.0  0.84 14.81  8.61 305 1021.9  16.8  15.7 999.0 99.0 99.00
2015 01 06 20 50 999 99.0 99.0  0.77 14.81  8.30 280 1021.0  17.4  15.9 999.0 99.0 99.00
2015 01 06 21 50 999 99.0 99.0  0.80 13.79  8.91 323 1020.5  18.0  16.1 999.0 99.0 99.00
2015 01 06 22 50 999 99.0 99.0  0.84 13.79  9.07 295 1020.3  18.1  16.5 999.0 99.0 99.00
2015 01 06 23 50 999 99.0 99.0  0.79 13.79  9.02 318 1020.1  17.2  16.6 999.0 99.0 99.00
2015 01 07 00 50 999 99.0 99.0  0.80 13.79  9.33 316 1020.0  16.8  16.5 999.0 99.0 99.00
2015 01 07 01 50 999 99.0 99.0  0.80 13.79  9.24 335 1020.4  15.9  16.3 999.0 99.0 99.00
2015 01 07 02 50 999 99.0 99.0  0.84 13.79  9.75 283 1020.5  15.2  16.1 999.0 99.0 99.00
2015 01 07 03 50 999 99.0 99.0  0.94 13.79  9.92 297 1020.8  15.6  16.0 999.0 99.0 99.00
2015 01 07 04 50 999 99.0 99.0  0.94 13.79  9.70 266 1021.0  16.2  15.8 999.0 99.0 99.00
2015 01 07 05 50 999 99.0 99.0  0.84 13.79  8.83 287 1020.9  15.9  15.7 999.0 99.0 99.00
2015 01 07 06 50 999 99.0 99.0  0.92 19.05 10.01 150 1020.8  15.6  15.6 999.0 99.0 99.00
2015 01 07 07 50 999 99.0 99.0  0.91 17.39  9.62 291 1020.4  15.0  15.6 999.0 99.0 99.00
2015 01 07 08 50 999 99.0 99.0  0.85 17.39  8.62  48 1020.3  15.2  15.6 999.0 99.0 99.00
2015 01 07 09 50 999 99.0 99.0  0.93 17.39  9.57 333 1020.3  15.6  15.6 999.0 99.0 99.00
2015 01 07 10 50 999 99.0 99.0  0.93 17.39  9.04 296 1020.3  15.5  15.5 999.0 99.0 99.00
2015 01 07 11 50 999 99.0 99.0  0.81 17.39  7.99 217 1020.1  15.2  15.5 999.0 99.0 99.00
2015 01 07 12 50 999 99.0 99.0  0.88 12.90  7.35 291 1020.0  15.4  15.5 999.0 99.0 99.00
2015 01 07 13 50 999 99.0 99.0  0.94 12.90  7.35 281 1020.2  15.6  15.4 999.0 99.0 99.00
2015 01 07 14 50 999 99.0 99.0  0.91 17.39  7.27 218 1020.5  15.4  15.4 999.0 99.0 99.00
2015 01 07 15 50 999 99.0 99.0  1.03 17.39  8.93 287 1021.0  14.7  15.4 999.0 99.0 99.00
2015 01 07 16 50 999 99.0 99.0  1.01 17.39  7.81  73 1021.7  15.7  15.4 999.0 99.0 99.00
2015 01 07 17 50 999 99.0 99.0  1.06 16.00  8.29 221 1022.0  16.2  15.4 999.0 99.0 99.00
2015 01 07 18 50 999 99.0 99.0  0.93 12.12  7.61 290 1021.9  16.1  15.5 999.0 99.0 99.00
2015 01 07 19 50 999 99.0 99.0  0.91 16.00  8.04 292 1021.1  16.2  15.6 999.0 99.0 99.00
2015 01 07 20 50 999 99.0 99.0  0.98 16.00  8.78 249 1020.0  17.2  15.9 999.0 99.0 99.00
2015 01 07 21 50 999 99.0 99.0  1.01 16.00  9.45 231 1019.5  17.8  16.1 999.0 99.0 99.00
2015 01 07 22 50 999 99.0 99.0  1.07 11.43  9.58 270 1019.5  18.0  16.2 999.0 99.0 99.00
2015 01 07 23 50 999 99.0 99.0  1.05 16.00 10.14 271 1019.0  17.4  16.4 999.0 99.0 99.00
