#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2017 12 31 23 50  10  1.8  2.1  0.86 10.81  7.70 293 1019.2  13.5  14.0 999.0 99.0 99.00
2018 01 01 00 50  36  0.8  1.4  0.85 10.81  7.65 274 1019.3  13.4  13.9 999.0 99.0 99.00
2018 01 01 01 50  17  0.8  1.1  0.92 10.81  7.99 273 1019.9  13.4  13.9 999.0 99.0 99.00
2018 01 01 02 50 354  0.5  0.9  0.87 10.00  7.97 284 1020.5  13.3  13.8 999.0 99.0 99.00
2018 01 01 03 50  23  1.2  1.6  0.92 10.00  8.44 290 1020.6  13.3  13.8 999.0 99.0 99.00
2018 01 01 04 50  11  1.1  1.3  0.85 10.81  8.50 267 1020.3  13.2  13.8 999.0 99.0 99.00
2018 01 01 05 50 325  1.1  1.6  0.90 10.81  8.30 288 1021.1  13.3  13.8 999.0 99.0 99.00
2018 01 01 06 50 299  1.5  1.8  0.80 10.00  8.15 282 1022.0  13.4  13.8 999.0 99.0 99.00
2018 01 01 07 50 311  2.6  3.1  0.81 10.00  8.54 266 1022.1  13.5  13.8 999.0 99.0 99.00
2018 01 01 08 50 329  3.0  3.6  0.74 11.43  8.04 266 1021.7  13.4  13.8 999.0 99.0 99.00
2018 01 01 09 50 338  2.6  3.2  0.75 10.00  8.21 270 1021.9  13.5  13.8 999.0 99.0 99.00
2018 01 01 10 50 358  3.3  3.9  0.72 10.81  8.51 275 1021.8  13.5  13.8 999.0 99.0 99.00
2018 01 01 11 50 350  3.6  4.2  0.70 10.81  8.14 263 1021.6  13.2  13.8 999.0 99.0 99.00
2018 01 01 12 50 344  4.0  4.8  0.68 10.81  8.16 288 1021.3  13.0  13.8 999.0 99.0 99.00
2018 01 01 13 50 354  4.9  5.7  0.67 12.90  7.42 301 1021.1  12.8  13.8 999.0 99.0 99.00
2018 01 01 14 50 358  4.9  5.6  0.70 12.90  6.44 217 1021.3  12.6  13.8 999.0 99.0 99.00
2018 01 01 15 50 353  4.9  5.7  0.75  8.33  5.56 302 1021.4  12.8  13.8 999.0 99.0 99.00
2018 01 01 16 50 341  4.8  5.6  0.67  7.69  4.96 283 1022.0  13.0  13.8 999.0 99.0 99.00
2018 01 01 17 50 343  3.7  4.5  0.77 10.81  5.41 288 1022.5  13.3  13.9 999.0 99.0 99.00
2018 01 01 18 50 333  3.6  4.5  0.73 12.90  5.47 215 1022.3  13.5  13.9 999.0 99.0 99.00
2018 01 01 19 50 335  4.9  5.6  0.74 10.00  5.81 298 1021.5  13.6  14.0 999.0 99.0 99.00
2018 01 01 20 50 329  4.8  5.4  0.72 12.90  5.29 230 1020.4  13.6  14.1 999.0 99.0 99.00
2018 01 01 21 50 326  5.1  5.8  0.74 16.00  5.99 238 1019.7  13.7  14.3 999.0 99.0 99.00
2018 01 01 22 50 306  3.8  4.6  0.71 10.00  5.62 318 1020.1  13.7  14.3 999.0 99.0 99.00
2018 01 01 23 50 306  4.7  5.5  0.81 16.00  5.81 279 1020.1  13.7  14.3 999.0 99.0 99.00
2018 01 02 00 50 308  3.3  4.1  0.74 16.00  5.45 303 1020.6  13.7  14.3 999.0 99.0 99.00
2018 01 02 01 50 314  4.3  5.1  0.72 17.39  5.60 285 1020.5  13.7  14.2 999.0 99.0 99.00
2018 01 02 02 50 341  2.0  2.6  0.71 16.00  5.55 255 1020.5  13.7  14.2 999.0 99.0 99.00
2018 01 02 03 50 342  2.4  2.8  0.79 16.00  6.66 330 1020.4  13.7  14.2 999.0 99.0 99.00
2018 01 02 04 50 293  2.2  2.7  0.77 16.00  6.50 306 1020.6  13.8  14.2 999.0 99.0 99.00
2018 01 02 05 50 325  3.0  3.6  0.73 16.00  6.68 286 1020.4  13.8  14.2 999.0 99.0 99.00
2018 01 02 06 50 317  1.5  2.2  0.82 16.00  7.32 288 1020.8  13.8  14.2 999.0 99.0 99.00
2018 01 02 07 50 300  1.7  2.2  0.91 16.00  7.41 257 1021.0  13.8  14.1 999.0 99.0 99.00
2018 01 02 08 50 286  1.9  2.4  0.85 16.00  7.07 282 1021.1  13.7  14.0 999.0 99.0 99.00
2018 01 02 09 50 297  2.4  3.1  0.88 16.00  7.44 114 1020.9  13.7  14.1 999.0 99.0 99.00
2018 01 02 10 50 331  1.6  2.1  0.93 14.81  8.24 278 1021.0  13.7  14.2 999.0 99.0 99.00
2018 01 02 11 50 304  1.2  1.7  0.91 14.81  7.92 294 1021.1  13.7  14.2 999.0 99.0 99.00
2018 01 02 12 50  49  1.3  1.6  1.02 14.81  8.40 289 1020.9  13.6  14.1 999.0 99.0 99.00
2018 01 02 13 50  81  2.1  2.5  1.00 14.81  8.25 286 1020.7  13.5  14.0 999.0 99.0 99.00
2018 01 02 14 50  93  2.2  2.9  1.08 14.81  8.88 290 1020.9  13.8  14.0 999.0 99.0 99.00
2018 01 02 15 50 127  0.9  1.2  1.09 14.81  9.08 293 1020.7  13.0  14.1 999.0 99.0 99.00
2018 01 02 16 50  96  1.0  1.4  0.99 13.79  8.93 297 1021.0  13.5  14.1 999.0 99.0 99.00
2018 01 02 17 50 354  0.3  0.5  0.91 13.79  8.73 300 1021.0  13.7  14.2 999.0 99.0 99.00
2018 01 02 18 50 274  1.6  2.7  0.87 13.79  8.56 282 1021.1  14.0  14.3 999.0 99.0 99.00
2018 01 02 19 50 296  2.7  3.3  1.02 13.79  9.25 272 1020.0  13.9  14.3 999.0 99.0 99.00
2018 01 02 20 50 315  2.1  2.6  1.06 13.79  9.44 287 1019.5  14.0  14.4 999.0 99.0 99.00
2018 01 02 21 50 279  2.5  2.9  1.19 13.79 10.05 286 1019.1  14.0  14.7 999.0 99.0 99.00
2018 01 02 22 50 288  2.9  3.6  0.96 13.79  8.98 292 1019.1  14.1  14.7 999.0 99.0 99.00
2018 01 02 23 50 296  3.3  3.9  1.03 13.79  9.19 293 1019.1  13.9  14.5 999.0 99.0 99.00
2018 01 03 00 50 346  2.0  2.4  1.13 12.90  9.72 276 1018.6  14.0  14.3 999.0 99.0 99.00
2018 01 03 01 50 358  2.5  3.0  1.14 12.12  9.27 296 1018.3  13.8  14.3 999.0 99.0 99.00
2018 01 03 02 50   1  2.1  2.5  1.08 12.90  9.44 283 1017.8  13.8  14.2 999.0 99.0 99.00
2018 01 03 03 50 280  2.5  3.2  1.10 13.79  9.19 279 1018.4  13.9  14.2 999.0 99.0 99.00
2018 01 03 04 50 296  1.4  1.9  1.13 12.90  9.67 291 1018.6  13.8  14.2 999.0 99.0 99.00
2018 01 03 05 50  25  1.4  2.1  1.24 12.90 10.35 288 1018.2  13.7  14.2 999.0 99.0 99.00
2018 01 03 06 50  61  2.9  3.6  1.24 12.12 10.14 292 1018.0  13.9  14.4 999.0 99.0 99.00
2018 01 03 07 50  88  3.3  4.0  1.44 12.90 10.97 291 1017.7  12.9  14.4 999.0 99.0 99.00
2018 01 03 08 50 114  2.1  3.0  1.31 12.90 10.37 305 1017.7  13.8  14.3 999.0 99.0 99.00
2018 01 03 09 50 240  2.6  3.3  1.54 12.12 10.56 277 1017.7  14.0  14.2 999.0 99.0 99.00
2018 01 03 10 50 289  2.0  2.6  1.16 12.90  9.57 285 1017.5  13.8  14.1 999.0 99.0 99.00
2018 01 03 11 50 279  2.9  3.8  1.13 12.12  9.64 289 1017.3  13.3  14.0 999.0 99.0 99.00
2018 01 03 12 50 303  1.0  1.5  1.30 12.12  9.77 273 1017.3  12.3  13.9 999.0 99.0 99.00
2018 01 03 13 50  49  3.4  4.0  1.10 12.12  8.90 291 1016.9  12.7  13.9 999.0 99.0 99.00
2018 01 03 14 50  96  3.5  4.4  1.09 12.90  8.77 295 1016.7  13.2  13.9 999.0 99.0 99.00
2018 01 03 15 50 107  3.5  4.6  1.23 12.12  9.66 296 1016.9  13.8  13.9 999.0 99.0 99.00
2018 01 03 16 50 204  0.2  0.6  1.30 12.12  9.33 272 1017.4  13.6  14.0 999.0 99.0 99.00
2018 01 03 17 50 292  0.9  1.4  1.27 12.12  9.00 289 1017.7  14.0  14.2 999.0 99.0 99.00
2018 01 03 18 50  19  1.9  2.4  1.41 12.12  9.23 295 1017.5  14.0  14.3 999.0 99.0 99.00
2018 01 03 19 50 243  2.3  3.1  1.39 14.81  9.40 281 1017.2  14.2  14.4 999.0 99.0 99.00
2018 01 03 20 50  74  0.6  1.4  1.42 11.43  9.57 283 1016.5  14.2  14.5 999.0 99.0 99.00
2018 01 03 21 50 323  3.3  3.9  1.44 14.81 10.00 291 1016.8  14.0  14.5 999.0 99.0 99.00
2018 01 03 22 50  62  4.9  5.8  1.28 14.81  9.14 323 1016.2  14.4  14.5 999.0 99.0 99.00
2018 01 03 23 50  92  6.4  8.1  1.15 13.79  8.84 306 1015.3  14.7  14.4 999.0 99.0 99.00
2018 01 04 00 50  91  5.4  6.8  1.18 12.90  7.30 311 1015.4  14.9  14.4 999.0 99.0 99.00
2018 01 04 01 50 100  2.9  3.5  1.18 13.79  7.53 313 1015.6  15.3  14.4 999.0 99.0 99.00
2018 01 04 02 50 155  2.4  2.9  1.18 13.79  8.04 309 1016.1  15.2  14.4 999.0 99.0 99.00
2018 01 04 03 50 173  6.0  7.7  1.24 13.79  8.96 293 1016.0  16.1  14.4 999.0 99.0 99.00
2018 01 04 04 50 168  7.9  9.3  1.25 13.79  7.64 299 1016.0  16.0  14.4 999.0 99.0 99.00
2018 01 04 05 50 155  7.9  9.6  1.23 14.81  6.19 278 1016.6  16.1  14.7 999.0 99.0 99.00
2018 01 04 06 50 162  8.7 10.8  1.28 13.79  5.97 284 1016.9  15.3  14.8 999.0 99.0 99.00
2018 01 04 07 50 150  9.1 11.1  1.56 13.79  6.07 284 1016.9  14.5  14.8 999.0 99.0 99.00
2018 01 04 08 50 155  8.2 10.8  1.59 13.79  6.17 280 1017.1  13.8  14.9 999.0 99.0 99.00
2018 01 04 09 50 154  6.7  8.4  1.82 17.39  7.20 272 1017.5  14.1  14.9 999.0 99.0 99.00
2018 01 04 10 50 151  6.1  7.5  2.08 12.90  8.06 301 1017.9  14.2  14.9 999.0 99.0 99.00
2018 01 04 11 50 136  5.7  7.2  1.89 17.39  7.57 281 1017.8  14.3  14.9 999.0 99.0 99.00
2018 01 04 12 50  90  4.0  5.4  2.14 17.39  8.18 295 1018.2  14.6  14.9 999.0 99.0 99.00
2018 01 04 13 50  84  3.0  4.1  1.95 13.79  7.92 290 1018.6  13.9  14.9 999.0 99.0 99.00
2018 01 04 14 50  87  2.5  3.6  2.11 17.39  8.78 290 1019.2  14.3  14.9 999.0 99.0 99.00
2018 01 04 15 50  84  1.8  2.8  1.97 17.39  8.69 285 1019.7  14.4  14.8 999.0 99.0 99.00
2018 01 04 16 50 117  2.4  3.5  2.02 17.39  9.71 282 1020.0  14.4  14.8 999.0 99.0 99.00
2018 01 04 17 50 124  1.5  2.4  1.90 16.00  9.81 292 1020.6  14.6  14.6 999.0 99.0 99.00
2018 01 04 18 50 117  2.0  2.7  2.20 14.81 11.09 286 1020.5  14.7  14.6 999.0 99.0 99.00
2018 01 04 19 50 148  1.7  2.5  1.73 17.39 10.12 273 1019.8  14.8  14.6 999.0 99.0 99.00
2018 01 04 20 50 185  1.1  1.4  2.05 17.39 11.19 283 1019.1  14.9  14.6 999.0 99.0 99.00
2018 01 04 21 50 154  0.9  1.4  1.82 16.00 10.59 283 1018.6  15.3  14.6 999.0 99.0 99.00
2018 01 04 22 50 180  3.0  3.7  2.08 16.00 11.23 278 1018.8  15.0  14.7 999.0 99.0 99.00
2018 01 04 23 50 198  3.4  4.1  1.99 14.81 10.97 291 1019.4  15.1  14.7 999.0 99.0 99.00
2018 01 05 00 50 177  3.0  3.6  1.98 14.81 10.56 285 1019.0  15.2  14.9 999.0 99.0 99.00
2018 01 05 01 50 165  4.3  5.3  2.25 16.00 10.81 274 1019.1  15.1  14.9 999.0 99.0 99.00
2018 01 05 02 50 197  3.4  4.1  2.17 14.81 10.47 287 1019.8  15.1  14.8 999.0 99.0 99.00
