#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2010 02 19 01 50 291  1.0  2.2  1.61 10.81  8.76 294 1013.5  12.3  13.6 999.0 99.0 99.00
2010 02 19 02 50 325  1.0  1.5  1.61 10.81  8.86 287 1013.7  12.3  13.6 999.0 99.0 99.00
2010 02 19 03 50 300  1.7  2.4  1.56 10.00  8.47 294 1013.7  12.5  13.5 999.0 99.0 99.00
2010 02 19 04 50 185  0.1  0.6  1.56 10.00  8.82 299 1013.9  12.7  13.5 999.0 99.0 99.00
2010 02 19 05 50 316  1.3  2.7  1.41 14.81  8.58 293 1013.7  12.7  13.5 999.0 99.0 99.00
2010 02 19 06 50 324  0.9  2.4  1.44 14.81  9.06 287 1013.4  12.5  13.5 999.0 99.0 99.00
2010 02 19 07 50  13  0.3  0.7  1.42 14.81  9.18 275 1013.0  12.5  13.5 999.0 99.0 99.00
2010 02 19 08 50 257  0.7  1.7  1.30 14.81  8.63 254 1012.9  12.6  13.5 999.0 99.0 99.00
2010 02 19 09 50 252  0.5  1.3  1.19 13.79  8.28 279 1012.7  12.7  13.4 999.0 99.0 99.00
2010 02 19 10 50 128  0.3  0.8  1.19 13.79  8.48 268 1012.5  12.7  13.5 999.0 99.0 99.00
2010 02 19 11 50 180  0.1  0.3  1.23 14.81  8.86 264 1012.4  12.8  13.5 999.0 99.0 99.00
2010 02 19 12 50 212  3.2  3.9  1.44 12.90  9.26 287 1012.3  12.9  13.5 999.0 99.0 99.00
2010 02 19 13 50 234  3.7  4.5  1.53 13.79  9.60 285 1012.7  12.8  13.5 999.0 99.0 99.00
2010 02 19 14 50 226  4.8  5.8  1.46 13.79  8.41 291 1012.9  12.9  13.5 999.0 99.0 99.00
2010 02 19 15 50 216  5.0  6.0  1.33 13.79  8.46 266 1013.6  12.5  13.4 999.0 99.0 99.00
2010 02 19 16 50 208  4.9  6.0  1.38 12.90  7.70 271 1013.8  12.5  13.4 999.0 99.0 99.00
2010 02 19 17 50 172  4.0  5.0  1.52 12.12  7.70 274 1013.5  12.6  13.4 999.0 99.0 99.00
2010 02 19 18 50 179  6.4  7.8  1.33 12.12  7.32 273 1013.4  12.9  13.6 999.0 99.0 99.00
2010 02 19 19 50 177  7.7  9.3  1.29 13.79  6.96 266 1012.9  12.9  13.8 999.0 99.0 99.00
2010 02 19 20 50 166  7.2  8.5  1.39 12.90  7.05 272 1012.1  12.9  13.8 999.0 99.0 99.00
2010 02 19 21 50 163  8.0  9.2  1.55 13.79  7.04 259 1011.1  12.9  13.8 999.0 99.0 99.00
2010 02 19 22 50 161  8.8 10.0  1.44 13.79  6.03 261 1010.7  13.1  13.7 999.0 99.0 99.00
2010 02 19 23 50 161  8.3  9.9  1.46 12.90  5.52 290 1010.3  12.9  13.6 999.0 99.0 99.00
2010 02 20 00 50 160  9.2 11.1  1.64 12.90  6.32 288 1010.1  13.0  13.5 999.0 99.0 99.00
2010 02 20 01 50 144  9.8 11.8  2.06 13.79  6.62 257 1009.9  12.5  13.4 999.0 99.0 99.00
2010 02 20 02 50 141  6.5  7.9  1.89 14.81  6.83 267 1010.3  12.5  13.4 999.0 99.0 99.00
2010 02 20 03 50 147  6.2  7.5  2.16 12.90  7.90 266 1010.6  12.2  13.3 999.0 99.0 99.00
2010 02 20 04 50 151  2.9  4.4  1.90 13.79  7.74 268 1011.0  12.5  13.4 999.0 99.0 99.00
2010 02 20 05 50 128  0.5  1.5  2.36 13.79  9.01 258 1010.9  12.5  13.3 999.0 99.0 99.00
2010 02 20 06 50 134  2.3  4.4  2.27 12.90  8.70 256 1010.7  11.9  14.0 999.0 99.0 99.00
2010 02 20 07 50 136  5.1  7.0  2.54 13.79  9.02 260 1010.6  12.6  14.1 999.0 99.0 99.00
2010 02 20 08 50 142  4.8  6.3  2.57 12.90  8.56 246 1010.6  12.6  14.1 999.0 99.0 99.00
2010 02 20 09 50 121  3.6  5.2  2.11 13.79  7.56 266 1010.8  12.6  14.1 999.0 99.0 99.00
2010 02 20 10 50 138  3.5  4.3  2.42 12.90  8.46 259 1010.5  12.5  14.0 999.0 99.0 99.00
2010 02 20 11 50 110  2.2  3.5  2.43 12.90  8.62 270 1010.4  12.4  14.0 999.0 99.0 99.00
2010 02 20 12 50  32  2.6  3.6  2.83 12.90  9.24 269 1010.7  12.5  14.0 999.0 99.0 99.00
2010 02 20 13 50 355  2.5  3.3  2.68 12.90  9.16 266 1011.4  12.5  13.9 999.0 99.0 99.00
2010 02 20 14 50 344  2.5  3.3  2.72 12.90  9.58 278 1011.8  12.6  13.9 999.0 99.0 99.00
2010 02 20 15 50 327  2.6  3.5  2.96 13.79 10.21 267 1012.6  12.8  13.9 999.0 99.0 99.00
2010 02 20 16 50 335  3.6  4.9  2.61 13.79  9.87 269 1012.9  12.9  14.0 999.0 99.0 99.00
2010 02 20 17 50 350  3.3  4.3  2.75 12.90 10.29 266 1013.4  13.1  14.1 999.0 99.0 99.00
2010 02 20 18 50 323  3.2  4.1  2.35 12.12  9.45 262 1013.7  13.1  14.1 999.0 99.0 99.00
2010 02 20 19 50 314  4.7  5.7  2.53 12.90 10.11 267 1013.6  13.1  14.2 999.0 99.0 99.00
2010 02 20 20 50 316  5.1  6.1  2.17 12.90  9.13 259 1013.1  13.2  14.1 999.0 99.0 99.00
2010 02 20 21 50 306  6.3  7.3  2.60 13.79  9.85 265 1012.6  13.1  14.2 999.0 99.0 99.00
2010 02 20 22 50 312  7.0  8.7  2.46 12.12  9.26 270 1012.7  13.4  14.1 999.0 99.0 99.00
2010 02 20 23 50 302  6.2  7.7  2.77 12.12  9.40 265 1013.1  13.5  14.0 999.0 99.0 99.00
2010 02 21 00 50 307  8.1  9.8  2.70 12.12  8.85 264 1013.3  13.6  14.0 999.0 99.0 99.00
2010 02 21 01 50 314  8.2 10.2  3.27 12.12  8.86 275 1013.3  13.2  13.7 999.0 99.0 99.00
2010 02 21 02 50 310  7.5  9.6  3.18 12.90  8.67 272 1014.1  13.1  13.6 999.0 99.0 99.00
2010 02 21 03 50 314  7.7  9.2  2.82 12.90  8.21 264 1014.6  13.0  13.6 999.0 99.0 99.00
2010 02 21 04 50 313  6.9  8.9  3.07 12.90  8.45 277 1014.8  12.9  13.6 999.0 99.0 99.00
2010 02 21 05 50 311  7.0  8.5  3.01 13.79  8.35 263 1015.2  13.0  13.7 999.0 99.0 99.00
2010 02 21 06 50 305  6.2  8.1  2.93 12.90  8.40 278 1015.3  13.1  13.8 999.0 99.0 99.00
2010 02 21 07 50 292  7.2  9.1  3.19 11.43  8.67 277 1015.4  12.1  13.8 999.0 99.0 99.00
2010 02 21 08 50 289  6.1  7.7  2.93 12.90  8.58 283 1015.3  12.6  13.8 999.0 99.0 99.00
2010 02 21 09 50 272  4.7  6.0  2.89 12.90  8.51 274 1015.3  12.9  13.7 999.0 99.0 99.00
2010 02 21 10 50 259  4.4  5.6  2.76 12.90  8.39 284 1014.8  12.9  13.7 999.0 99.0 99.00
2010 02 21 11 50 242  4.1  5.2  2.61 12.12  8.31 274 1014.6  12.7  13.6 999.0 99.0 99.00
2010 02 21 12 50 291  7.7  9.8  2.57 12.12  8.43 277 1014.7  13.2  13.6 999.0 99.0 99.00
2010 02 21 13 50 317  8.8 11.5  2.51 12.90  7.39 273 1015.2  13.0  13.6 999.0 99.0 99.00
2010 02 21 14 50 311  9.0 10.6  2.53 12.12  7.08 278 1015.9  13.0  13.6 999.0 99.0 99.00
2010 02 21 15 50 315  7.7  9.2  2.75 12.12  7.42 284 1016.7  13.0  13.6 999.0 99.0 99.00
2010 02 21 16 50 317  6.7  7.8  2.56 12.12  7.07 274 1017.1  13.5  13.6 999.0 99.0 99.00
