#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 01 03 02 50 176  4.9  6.2  2.79 14.81  8.17 285 1013.6  11.8  12.6 999.0 99.0 99.00
2011 01 03 03 50 149  8.0  9.7  3.12 13.79  8.28 291 1013.7  11.1  12.6 999.0 99.0 99.00
2011 01 03 04 50 150  7.2  8.9  3.05 14.81  8.49 293 1013.9  11.0  12.6 999.0 99.0 99.00
2011 01 03 05 50 137  7.5  9.6  2.77 13.79  8.04 295 1014.1  10.9  12.6 999.0 99.0 99.00
2011 01 03 06 50 142  6.8  8.4  3.13 12.90  8.46 309 1014.3  10.7  12.7 999.0 99.0 99.00
2011 01 03 07 50 143  5.5  7.6  3.04 13.79  8.73 312 1014.5  10.7  12.6 999.0 99.0 99.00
2011 01 03 08 50 126  4.5  6.5  2.96 12.90  8.54 303 1014.6  10.5  12.6 999.0 99.0 99.00
2011 01 03 09 50 125  4.8  6.2  3.10 12.90  8.76 307 1014.8  10.3  12.6 999.0 99.0 99.00
2011 01 03 10 50 129  2.9  4.7  2.85 12.90  8.36 305 1015.3  10.5  12.6 999.0 99.0 99.00
2011 01 03 11 50 113  3.4  4.8  2.86 12.90  8.42 303 1015.2  10.2  12.6 999.0 99.0 99.00
2011 01 03 12 50  96  2.7  3.9  2.97 10.81  8.50 300 1015.4  10.2  12.6 999.0 99.0 99.00
2011 01 03 13 50  91  3.4  4.8  3.11 12.90  8.69 299 1015.5  10.0  12.6 999.0 99.0 99.00
2011 01 03 14 50  50  2.8  3.8  2.64 12.90  7.93 300 1016.1  10.3  12.6 999.0 99.0 99.00
2011 01 03 15 50  54  1.4  3.0  2.62 10.81  8.32 298 1016.8  10.2  12.5 999.0 99.0 99.00
2011 01 03 16 50 114  0.8  2.0  2.74 13.79  8.43 284 1017.6  10.6  12.6 999.0 99.0 99.00
2011 01 03 17 50 151  1.1  2.1  2.62 13.79  8.60 303 1018.0  10.9  12.7 999.0 99.0 99.00
2011 01 03 18 50 131  0.8  1.9  2.63 12.90  8.68 293 1018.2  11.3  12.8 999.0 99.0 99.00
2011 01 03 19 50 179  1.4  2.5  2.20 11.43  8.32 295 1017.5  11.2  13.0 999.0 99.0 99.00
2011 01 03 20 50 219  2.5  3.2  2.18 12.90  8.56 299 1017.5  11.2  13.0 999.0 99.0 99.00
2011 01 03 21 50 204  2.4  3.1  2.25 13.79  8.94 301 1017.2  11.5  13.0 999.0 99.0 99.00
2011 01 03 22 50 212  2.6  3.3  2.29 13.79  9.08 298 1017.4  11.6  13.0 999.0 99.0 99.00
2011 01 03 23 50 216  2.4  3.7  2.26 13.79  9.07 309 1017.6  11.8  12.9 999.0 99.0 99.00
2011 01 04 00 50 236  1.1  1.8  2.29 13.79  8.84 307 1018.0  11.7  12.9 999.0 99.0 99.00
2011 01 04 01 50 200  0.9  1.6  2.11 12.90  8.76 307 1018.5  11.6  12.8 999.0 99.0 99.00
2011 01 04 02 50 187  0.3  0.9  2.32 12.90  8.92 310 1019.2  11.6  12.8 999.0 99.0 99.00
2011 01 04 03 50 275  0.5  1.5  2.54 12.12  9.28 303 1019.7  11.5  12.8 999.0 99.0 99.00
2011 01 04 04 50 328  0.2  0.6  2.08 11.43  8.78 295 1020.0  11.5  12.7 999.0 99.0 99.00
2011 01 04 05 50  42  1.1  1.6  1.90 12.90  8.55 293 1020.5  11.6  12.7 999.0 99.0 99.00
2011 01 04 06 50  56  2.5  3.5  2.02 12.12  8.55 282 1020.7  11.5  12.7 999.0 99.0 99.00
2011 01 04 07 50  73  3.6  4.7  1.99 12.12  8.96 295 1020.7  11.0  12.6 999.0 99.0 99.00
2011 01 04 08 50  94  3.3  4.6  2.34 12.90  9.51 298 1020.8  10.8  12.6 999.0 99.0 99.00
2011 01 04 09 50  50  2.8  3.6  1.78 12.90  8.47 284 1020.9  10.6  12.5 999.0 99.0 99.00
2011 01 04 10 50  44  3.5  4.4  1.92 11.43  8.86 291 1021.1  10.8  12.6 999.0 99.0 99.00
2011 01 04 11 50 119  4.3  5.2  1.72 13.79  8.36 294 1021.0   9.9  12.5 999.0 99.0 99.00
2011 01 04 12 50 135  2.3  3.2  1.74 12.90  8.46 289 1021.3   9.8  12.5 999.0 99.0 99.00
2011 01 04 13 50  50  2.8  3.5  1.66 13.79  8.56 301 1021.6   9.4  12.5 999.0 99.0 99.00
2011 01 04 14 50 138  2.7  3.6  1.66 12.12  8.70 293 1022.0  10.5  12.5 999.0 99.0 99.00
2011 01 04 15 50  73  1.7  2.5  1.68 12.12  8.51 290 1022.4   9.8  12.4 999.0 99.0 99.00
2011 01 04 16 50  56  6.6  7.7  1.72 14.81  9.69 275 1022.5  10.6  12.5 999.0 99.0 99.00
2011 01 04 17 50  60  5.0  6.0 99.00 99.00 99.00 999 1023.2  11.0  12.5 999.0 99.0 99.00
2011 01 04 18 50 165  3.2  4.0  1.88 16.00  9.76 283 1023.6  10.9  12.5 999.0 99.0 99.00
2011 01 04 19 50 276  1.3  2.1  1.61 17.39 10.29 293 1022.9  10.8  12.7 999.0 99.0 99.00
2011 01 04 20 50 314  1.9  2.8  1.77 16.00 11.42 291 1022.5  11.3  12.9 999.0 99.0 99.00
2011 01 04 21 50 329  3.1  4.1  2.08 16.00 12.37 297 1022.2  11.7  12.8 999.0 99.0 99.00
2011 01 04 22 50 313  2.2  3.2  1.87 17.39 11.46 284 1022.4  12.7  12.9 999.0 99.0 99.00
2011 01 04 23 50 303  2.8  3.6  2.21 16.00 12.36 293 1022.4  13.3  12.8 999.0 99.0 99.00
2011 01 05 00 50 303  2.3  3.1  2.31 17.39 12.55 302 1022.2  13.2  12.8 999.0 99.0 99.00
2011 01 05 01 50 293  1.7  2.5  2.45 17.39 12.35 304 1022.2  12.8  12.7 999.0 99.0 99.00
