#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2011 12 31 23 50 334  9.1 10.6  2.24 14.81  7.13 305 1016.9  14.0  13.4 999.0 99.0 99.00
2012 01 01 00 50 332  8.6 10.0  2.24 14.81  7.09 304 1016.8  13.8  13.3 999.0 99.0 99.00
2012 01 01 01 50 340  8.4 10.3  2.15 12.90  7.12 299 1016.8  14.2  13.3 999.0 99.0 99.00
2012 01 01 02 50 357  5.4  6.4  2.41 13.79  7.80 296 1017.0  14.6  13.2 999.0 99.0 99.00
2012 01 01 03 50   5  2.9  3.7  2.26 14.81  8.32 284 1017.3  14.3  13.2 999.0 99.0 99.00
2012 01 01 04 50 353  4.6  5.4  2.30 11.43  8.51 309 1017.5  14.0  13.2 999.0 99.0 99.00
2012 01 01 05 50  11  3.3  4.5  2.12 14.81  8.21 282 1017.8  14.1  13.2 999.0 99.0 99.00
2012 01 01 06 50  67  0.7  1.7  2.16 12.12  8.36 302 1018.3  13.3  13.1 999.0 99.0 99.00
2012 01 01 07 50 142  1.4  2.5  2.21 12.12  8.88 297 1018.4  13.3  13.1 999.0 99.0 99.00
2012 01 01 08 50 130  0.8  1.9  2.11 12.90  8.93 292 1018.5  12.8  13.1 999.0 99.0 99.00
2012 01 01 09 50  96  0.4  1.1  2.41 12.90  9.49 285 1018.5  12.5  13.1 999.0 99.0 99.00
2012 01 01 10 50 107  0.3  1.5  2.25 12.90  9.46 278 1018.7  12.3  13.1 999.0 99.0 99.00
2012 01 01 11 50  65  0.6  1.7  2.44 12.12  9.94 302 1018.7  11.9  13.1 999.0 99.0 99.00
2012 01 01 12 50 139  0.5  1.3  2.33 12.12  9.67 287 1019.3  12.8  13.0 999.0 99.0 99.00
2012 01 01 13 50 159  1.1  1.9  2.29 11.43  9.53 288 1019.9  12.5  13.0 999.0 99.0 99.00
2012 01 01 14 50 131  3.1  4.3  2.19 12.90  9.63 285 1020.4  10.7  13.0 999.0 99.0 99.00
2012 01 01 15 50 128  3.2  4.8  2.21 13.79  9.63 282 1020.9  10.0  13.0 999.0 99.0 99.00
2012 01 01 16 50 122  3.2  4.8  2.07 11.43  9.22 295 1021.5   9.9  13.0 999.0 99.0 99.00
