#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2015 12 31 23 50 316  2.7  4.0  1.37 11.43  8.63 311 1019.8  12.7  15.0 999.0 99.0 99.00
2016 01 01 00 50 314  3.6  4.8  1.42 11.43  8.48 308 1019.8  12.5  14.9 999.0 99.0 99.00
2016 01 01 01 50 311  3.6  4.6  1.45 11.43  8.66 304 1019.9  12.3  14.8 999.0 99.0 99.00
2016 01 01 02 50 305  3.0  4.3  1.45 12.90  8.69 287 1020.1  12.4  14.8 999.0 99.0 99.00
2016 01 01 03 50 340  3.1  4.2  1.46 11.43  8.96 310 1020.1  12.4  14.8 999.0 99.0 99.00
2016 01 01 04 50 349  2.9  3.6  1.34 14.81  8.27 271 1020.1  12.4  14.8 999.0 99.0 99.00
2016 01 01 05 50 334  3.2  4.3  1.26 14.81  8.06 306 1020.3  12.4  14.8 999.0 99.0 99.00
2016 01 01 06 50  34  2.2  3.4  1.31 14.81  8.65 346 1020.2  12.2  14.8 999.0 99.0 99.00
2016 01 01 07 50  61  1.9  3.0  1.15 14.81  8.23  27 1019.4  11.9  14.7 999.0 99.0 99.00
2016 01 01 08 50  99  1.1  1.9  1.18 14.81  8.45 283 1018.7  11.9  14.7 999.0 99.0 99.00
2016 01 01 09 50 124  1.4  2.6  1.27 13.79  8.90 296 1018.8  11.8  14.7 999.0 99.0 99.00
2016 01 01 10 50 146  1.4  2.4  1.17 13.79  8.49 291 1018.7  11.6  14.7 999.0 99.0 99.00
2016 01 01 11 50 125  2.6  3.4  1.19 13.79  7.89 298 1018.7  11.5  14.7 999.0 99.0 99.00
2016 01 01 12 50  98  3.7  4.6  1.24 13.79  7.90 316 1018.5  10.9  14.7 999.0 99.0 99.00
2016 01 01 13 50 142  3.5  4.4  1.16 13.79  7.52 268 1018.8  11.2  14.7 999.0 99.0 99.00
2016 01 01 14 50 135  2.6  3.6  1.11 12.12  7.63 292 1019.8  10.9  14.7 999.0 99.0 99.00
2016 01 01 15 50 126  3.1  4.1  1.04 12.90  7.61 289 1020.1  11.3  14.7 999.0 99.0 99.00
2016 01 01 16 50 140  3.3  4.6  1.11 13.79  7.47 288 1020.6  11.6  14.7 999.0 99.0 99.00
2016 01 01 17 50 169  3.5  4.4  1.19 13.79  7.97 285 1021.2  12.0  14.7 999.0 99.0 99.00
2016 01 01 18 50 214  2.8  4.1  1.17 13.79  7.91 295 1021.3  12.7  14.8 999.0 99.0 99.00
2016 01 01 19 50 214  3.5  4.5  1.17 17.39  8.06 283 1020.8  12.7  14.7 999.0 99.0 99.00
2016 01 01 20 50 214  3.6  4.7  1.35 17.39  8.83 292 1020.0  12.8  14.7 999.0 99.0 99.00
2016 01 01 21 50 220  3.1  4.0  1.47 17.39 10.09 304 1019.3  12.8  14.8 999.0 99.0 99.00
2016 01 01 22 50 255  2.4  3.7  1.48 17.39  9.86 342 1019.1  12.5  14.8 999.0 99.0 99.00
2016 01 01 23 50 263  2.7  3.9  1.56 17.39 10.71 306 1019.1  12.3  14.8 999.0 99.0 99.00
2016 01 02 00 50 298  2.1  3.1  1.69 17.39 11.07 297 1019.1  12.2  14.8 999.0 99.0 99.00
2016 01 02 01 50 300  2.3  3.4  1.59 17.39 10.19 297 1019.1  12.2  14.7 999.0 99.0 99.00
2016 01 02 02 50 346  1.4  2.5  1.65 17.39 11.24 323 1019.5  12.1  14.6 999.0 99.0 99.00
2016 01 02 03 50 319  0.7  1.4  1.64 16.00 11.41 306 1019.8  12.1  14.6 999.0 99.0 99.00
2016 01 02 04 50  15  0.8  1.6  2.00 16.00 12.18 315 1019.9  12.1  14.5 999.0 99.0 99.00
2016 01 02 05 50   6  1.1  2.3  1.93 16.00 12.39 300 1020.2  12.2  14.6 999.0 99.0 99.00
2016 01 02 06 50  13  1.5  2.2  1.74 16.00 11.78 310 1020.2  12.1  14.6 999.0 99.0 99.00
2016 01 02 07 50  24  1.3  2.0  1.73 16.00 11.73 301 1019.9  12.2  14.6 999.0 99.0 99.00
2016 01 02 08 50  56  1.8  2.7  1.73 16.00 11.76 316 1019.6  12.1  14.5 999.0 99.0 99.00
2016 01 02 09 50  62  2.2  3.1  1.55 16.00 11.66 321 1019.3  12.1  14.5 999.0 99.0 99.00
2016 01 02 10 50  71  2.5  3.6  1.73 14.81 12.09 304 1019.1  12.2  14.5 999.0 99.0 99.00
